ObjectID,Election,County,HASNO,Site Name,Site Address,Zip,New,ED,Latitude,Longitude,x,y
415,General Election 2024 - 11/05/2024,Brooklyn,00039,PS 206,2200 Gravesend Neck Road,11229,,"042/41, 043/41, 044/41, 055/41",40.59729114,-73.94883856,588940.9357,4494585.0706
416,General Election 2024 - 11/05/2024,Brooklyn,B0255,PS 208,4801 Avenue D,11203,,"001/41, 033/58, 036/58",40.64227115,-73.93063238,590420.7489,4499596.6351
417,General Election 2024 - 11/05/2024,Brooklyn,B0384,PS 209,2609 East 7th Street,11235,,"036/45, 043/45, 044/45, 045/45",40.58671134,-73.96172276,587864.6071,4493397.7288
418,General Election 2024 - 11/05/2024,Brooklyn,B0208,PS 216,350 Avenue X,11223,,"013/45, 033/45, 041/45",40.59037157,-73.96973294,587181.9771,4493796.0684
419,General Election 2024 - 11/05/2024,Brooklyn,B0387,PS 217,1100 Newkirk Avenue,11230,,"027/42, 060/42, 067/44, 068/44, 070/44, 071/44, 072/44",40.63380265,-73.96637496,587409.5174,4498620.4566
420,General Election 2024 - 11/05/2024,Brooklyn,B0022,PS 219,1060 Clarkson Avenue,11212,,"011/58, 016/58, 017/58, 018/58",40.65919048,-73.92265678,591072.1319,4501483.0089
421,General Election 2024 - 11/05/2024,Brooklyn,10450,PS 22,443 St Marks Avenue,11238,,"009/44, 052/57, 053/57, 054/57, 068/57, 085/57",40.67683492,-73.95973029,587914.9292,4503403.9048
422,General Election 2024 - 11/05/2024,Brooklyn,B0256,PS 220 JHS,4812 9th Avenue,11220,,"003/49, 004/49, 053/49, 054/49 (Combined into 004/49), 053/51",40.6407728,-74.00080763,584488.85,4499360.5357
423,General Election 2024 - 11/05/2024,Brooklyn,B0337,PS 221,791 Empire Boulevard,11213,,"024/43, 025/43, 026/43, 027/43, 051/43",40.66387892,-73.93646337,589898.6891,4501989.2437
424,General Election 2024 - 11/05/2024,Brooklyn,B0406,PS 222,3301 Quentin Road,11234,,"034/41, 036/41, 051/59, 053/59, 054/59",40.61371759,-73.93869364,589777.348,4496418.7853
425,General Election 2024 - 11/05/2024,Brooklyn,10550,PS 207 Annex Early Childhood Ctr,3920 Flatlands Avenue,11234,,"018/41, 019/41, 032/41, 035/59, 064/59",40.62115091,-73.93535773,590049.5594,4497247.3296
426,General Election 2024 - 11/05/2024,Brooklyn,B0236,PS 223 IS,4200 16th Avenue,11204,,"050/44, 051/44, 052/44, 010/48, 012/48, 053/48",40.63490773,-73.98183262,586100.8834,4498727.8828
427,General Election 2024 - 11/05/2024,Brooklyn,B0325,PS 224,755 Wortman Avenue,11208,,"004/60, 005/60",40.66414985,-73.86650729,595811.668,4502093.2048
428,General Election 2024 - 11/05/2024,Brooklyn,B0289,PS 226,6006 23rd Avenue,11204,,"018/47, 019/47, 020/47, 024/47, 056/47, 034/48, 036/48",40.61527508,-73.97664014,586565.3381,4496553.6555
429,General Election 2024 - 11/05/2024,Brooklyn,B0300,PS 227 JHS,6500 16th Avenue,11204,,"017/49, 018/49, 019/49, 032/49, 034/49, 048/49, 049/49",40.62188603,-73.99538277,584971.5077,4497269.2356
430,General Election 2024 - 11/05/2024,Brooklyn,B0058,PS 229,1400 Benson Avenue,11228,,"028/46, 001/47, 002/47, 003/47, 057/47",40.61067533,-74.01329885,583470.0775,4496007.6487
